"lat","long","city"
"52.472075","13.3296424","Berlin"
"52.3595378","9.2514201","Lüdersfeld"
"49.5032304","7.5330903","Reichenbach-Steegen"
"48.0871324","10.8605317","Kaufering"
"48.1267587","8.7058756","Frittlingen"
"52.9794838","13.3348959","Zehdenick"
"50.97098","14.2727203","Sebnitz"
"48.9823324","12.9845826","Ruhmannsfelden"
"51.3963197","14.7859798","Rietschen"
"49.0668087","8.9999838","Güglingen"
"49.5960879","11.1210915","Dormitz"
"51.26085635","12.888380506756661","Grimma"
"53.5234416","12.9264743","Möllenhagen"
"53.3337929","8.916742","Vollersode"
"50.6638396","11.5675201","Ranis"
"49.67532","6.6705104","Pellingen"
"47.8266137","10.0228027","Leutkirch im Allgäu"
"51.8443183","6.8582247","Borken"
"51.8890225","12.3704915","Coswig (Anhalt)"
"53.3789803","10.5513889","Lauenburg/Elbe"
"50.310642","11.3756566","Wilhelmsthal"
"49.4139647","11.0130276","Stein"
"53.395426","10.3486073","Marschacht"
"47.9297443","10.6129031","Pforzen"
"49.445762","10.9560462","Zirndorf"
"51.1456848","14.0199103","Großröhrsdorf"
"47.7224806","10.5568957","Wald"
"48.6379376","12.5331205","Gottfrieding"
"51.1093455","10.9950534","Haßleben"
"49.9524401","9.6721319","Steinfeld"
"52.6348293","7.9810703","Badbergen"
"49.03224685","8.594407568187538","Walzbachtal"
"54.5332352","9.9880722","Waabs"
"50.4913647","6.6288859","Nettersheim"
"50.1290646","7.2303226","Bruttig-Fankel"
"51.0845525","11.0026999","Riethnordhausen"
"52.4016457","13.2644532","Teltow"
"51.2394975","13.6611979","Ebersbach"
"49.3393776","8.7998674","Mauer"
"49.4892913","8.4673098","Mannheim"
"50.6892569","8.3842752","Mittenaar"
"52.1753416","11.7454221","Gerwisch"
"53.3670541","7.2058304","Emden"
"49.8062101","6.5136068","Ralingen"
"54.51851","9.5653284","Schleswig"
"48.2276969","8.7920689","Dotternhausen"
"52.7814673","9.2242199","Eystrup"
"49.6469231","12.2166475","Bechtsrieth"
"54.554442","9.8965509","Holzdorf"
"48.5175043","10.1722215","Rammingen"
"50.0384604","7.30279","Blankenrath"
"49.3165553","8.433615","Speyer"
"50.1981219","12.0907653","Schönwald"
"51.999408","10.410974","Liebenburg"
"49.7538888","10.775686","Mühlhausen"
"51.2990263","7.6734841","Altena"
"53.6574275","10.580393","Nusse"
"50.1614795","8.3175102","Niedernhausen"
"49.1924269","8.2508767","Knittelsheim"
